query,querySlug,cluster,clusterLabel,text,videosNumber,ids
pfas,pfas,6,Water,reverseosmosis,9,7091657755844594990|7137086360661413163|7168174131886755114|7178930899390860590|7194478031417855278|7205228883426250027|7091657755844594990|7137086360661413163|7205228883426250027
pfas,pfas,6,Water,cleanwater,16,7091471092136840494|7124402538803252526|7138045266694884651|7160740579037416746|7194478031417855278|7205228883426250027|7204895056292121902|7216173551202733355|7273267010153499950|7091471092136840494|7138045266694884651|7160740579037416746|7205228883426250027|7239404547557313818|7284662586451168545|7296164328460389664
pfas,pfas,6,Water,watersafety,14,7103641347428453678|7114774472296516907|7114045944512990507|7138168351066426667|7137430198609349934|7135845997946801454|7149312491883859246|7148564975236222250|7147816833280789803|7103641347428453678|7138168351066426667|7137430198609349934|7149312491883859246|7148564975236222250
pfas,pfas,6,Water,waterfiltration,6,7112536651968335150|7171162502909431086|7194478031417855278|7205228883426250027|7171162502909431086|7205228883426250027
pfas,pfas,6,Water,watercontamination,6,7112483949796068654|7136177015308160299|7171162502909431086|7194478031417855278|7204947108355411242|7171162502909431086
pfas,pfas,6,Water,waterfilter,13,7138168351066426667|7137430198609349934|7137086360661413163|7171162502909431086|7168174131886755114|7178930899390860590|7194478031417855278|7250204516010937646|7138168351066426667|7137430198609349934|7137086360661413163|7171162502909431086|7239404547557313818
pfas,pfas,6,Water,waterislife,6,7137086360661413163|7181975552843222318|7216422089283079470|7137086360661413163|7181975552843222318|7216422089283079470
pfas,pfas,6,Water,contaminatedwater,4,7136177015308160299|7148610726255414574|7055815326637821230|7148610726255414574
pfas,pfas,6,Water,tapwater,9,7135845997946801454|7159211981264719147|7168182001311255854|7194478031417855278|7205228883426250027|7239004956228095278|7205228883426250027|7284662586451168545|7296164328460389664
pfas,pfas,6,Water,cleanwaterforall,4,7149269637761502510|7194478031417855278|7149269637761502510|7284662586451168545
pfas,pfas,6,Water,waterfacts,4,7194882678083276078|7216366656958909738|7194882678083276078|7216366656958909738
pfas,pfas,6,Water,waterloop,4,7194882678083276078|7216366656958909738|7194882678083276078|7216366656958909738
pfas,pfas,6,Water,waternews,6,7194882678083276078|7216366656958909738|7296145183731715374|7194882678083276078|7216366656958909738|7296145183731715374
pfas,pfas,6,Water,safewater,4,7205010048261590315|7205010048261590315|7284662586451168545|7296164328460389664
pfas,pfas,6,Water,cleanwaterisahumanright,4,7216173551202733355|7239404547557313818|7284662586451168545|7296164328460389664
pfas,pfas,10,Health lifestyle,healthy,7,7069132199005703470|7125198542393888046|7171307633209593131|7178685611853843755|7238773601334234411|7069132199005703470|7171307633209593131
pfas,pfas,10,Health lifestyle,foodismedicine,5,7067201049127505199|7307211840562597166|7067201049127505199|7194591963989986565|7307211840562597166
pfas,pfas,10,Health lifestyle,health,24,7062523234536803630|7081362375416253742|7112483949796068654|7125198542393888046|7123264573066480938|7137749248983977258|7170714568443006254|7170713949640477998|7170022184260242731|7178685611853843755|7216729428502629678|7238773601334234411|7250204516010937646|7273603991437593899|7284036832533171498|7081362375416253742|7137749248983977258|7170714568443006254|7170713949640477998|7216729428502629678|7227856647262080282|7262074451636784417|7273603991437593899|7307358511929806113
