name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
aj49G9b6xws,The Drastic Life Changes That Come with Living BPA-Free,yes,5,yes,1417755603,2014-12-05 05:12:03,Smithsonian Channel,UCWqPRUsJlZaDp-PVbqEch9g,Entertainment,,,10326,160,,,0,11,https://i.ytimg.com/vi/aj49G9b6xws/mqdefault.jpg,PH
SRDUQWJgnn0,BPA Free Plastic: Why It Does NOT Protect You | Harvard Professor Joseph Allen,yes,6,yes,1611417074,2021-01-23 15:01:14,MedCram Clips,UCsR06Qx_cG-gZudSJZUkDnw,People & Blogs,en,en,17515,509,,,0,87,https://i.ytimg.com/vi/SRDUQWJgnn0/mqdefault.jpg,PH
BIvHrC_mS_M,Food Plastics = Estrogens in Your Body,yes,7,yes,1569866402,2019-09-30 18:09:02,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,484485,24983,,,0,3088,https://i.ytimg.com/vi/BIvHrC_mS_M/mqdefault.jpg,PH
VwzC03wlcLU,5 Hidden Sources Of BPA To Avoid: Should You Go BPA Free?,yes,8,yes,1568295715,2019-09-12 13:09:55,Christopher Walker,UCTA1AuuXSVk0u2iXKHe2S3g,Education,,en,12731,653,,,0,91,https://i.ytimg.com/vi/VwzC03wlcLU/mqdefault.jpg,PH
tjhzI_Pc2jk,How to Detox Microplastics From Your Body (BPA  Metals  Pesticides  Xenoestrogens etc),yes,10,yes,1667485585,2022-11-03 14:11:25,Siim Land,UCAohrrjG-3gEp5QF1WlM9_w,Education,,en,12233,805,,,0,96,https://i.ytimg.com/vi/tjhzI_Pc2jk/mqdefault.jpg,PH
-p713bmVB90,Are Your Receipts Harming You? How to Avoid BPA #bpa #thermal #chemicals #healthylifestyle,yes,11,yes,1653753600,2022-05-28 16:05:00,Dr. Ryan Shelton,UCobm38C7IV6DnxypPcTeMhQ,Education,en,en,3944,215,,,0,,https://i.ytimg.com/vi/-p713bmVB90/mqdefault.jpg,PH
8QuvTjLZaXs,Forever Chemicals PFAS  PFOA  PFOS  BPA  Explained Clearly,yes,12,no,1655909720,2022-06-22 14:06:20,MedCram - Medical Lectures Explained CLEARLY,UCG-iSMVtWbbwDDXgXXypARQ,Education,en,en-US,76376,2910,,,0,279,https://i.ytimg.com/vi/8QuvTjLZaXs/mqdefault.jpg,PH
tS9NpmU6PHs,Why BPA Hasn’t Been Banned,yes,13,yes,1479128746,2016-11-14 13:11:46,NutritionFacts.org,UCddn8dUxYdgJz3Qr5mjADtA,Science & Technology,,en,100049,2343,,,0,234,https://i.ytimg.com/vi/tS9NpmU6PHs/mqdefault.jpg,PH
6p2bT8qi5Zc,What is BPA Plastic Additive | Is BPA Safe? Why is it used in Baby Bottles!,yes,14,yes,1654308211,2022-06-04 02:06:31,Plascon Plastics,UClJAMn3Pmd1ja3sDF9M-Ssg,People & Blogs,,,2031,58,,,0,7,https://i.ytimg.com/vi/6p2bT8qi5Zc/mqdefault.jpg,PH
-InXsA4ZmQY,A VERDADE sobre VASILHA DE PLÁSTICO SEM BPA (BPA Free),yes,15,yes,1683577800,2023-05-08 20:05:00,Olá  Ciência!,UCrSM1UV_KLAdTzgxyxl3POw,Education,pt,pt,34429,4191,,,0,35,https://i.ytimg.com/vi/-InXsA4ZmQY/mqdefault.jpg,PH
tEfLl3HFddY,BPA and health risks - what does the latest science show?,yes,16,yes,1391444518,2014-02-03 16:02:58,Risk Bites,UC8cxoTk9M0HdZB3gyJNjEtw,Science & Technology,,en-US,61033,454,,,0,66,https://i.ytimg.com/vi/tEfLl3HFddY/mqdefault.jpg,PH
KIBsIQu0zNo,How to Avoid the Obesity-Related Plastic Chemical BPA,yes,17,yes,1470657309,2016-08-08 11:08:09,NutritionFacts.org,UCddn8dUxYdgJz3Qr5mjADtA,Science & Technology,,en,74975,1361,,,0,116,https://i.ytimg.com/vi/KIBsIQu0zNo/mqdefault.jpg,PH
PJEgiAKpA5A,BPA in food cans,yes,18,yes,1459379499,2016-03-30 23:03:39,CBC News,UCuFFtHWoLl5fauMMD5Ww2jA,Howto & Style,,en-GB,11796,151,,,0,13,https://i.ytimg.com/vi/PJEgiAKpA5A/mqdefault.jpg,PH
qqnkvFXys2o,Beware of BPA leaching from Store Receipts!,yes,19,yes,1658281107,2022-07-20 01:07:27,The Swell Score,UCMNs5YdLF-rh9dvMDNwEdbA,People & Blogs,en,en,3563,105,,,0,6,https://i.ytimg.com/vi/qqnkvFXys2o/mqdefault.jpg,PH
J-xv2UD9TxQ,What BPA Is & How to Avoid It | Green Living,yes,20,yes,1387224420,2013-12-16 20:12:00,Howcast,UCSpVHeDGr9UbREhRca0qwsA,Howto & Style,,en-US,30744,227,,,0,22,https://i.ytimg.com/vi/J-xv2UD9TxQ/mqdefault.jpg,PH
7RQ0DSvo1P8,BPA in Food Containers: What You Need to Know,yes,21,yes,1427285258,2015-03-25 12:03:38,ELLICSR Kitchen,UCh98IRmyImr5HbCG5_q94Tg,Education,,en,54871,610,,,0,41,https://i.ytimg.com/vi/7RQ0DSvo1P8/mqdefault.jpg,PH
OEzNjSOwF04,Scientists attempt to replace the ubiquitous chemical BPA in food and drink cans,yes,22,yes,1580766530,2020-02-03 21:02:50,Science Magazine,UCv0aU2eKry3kdSTnFa8QAWA,Science & Technology,,en-US,13864,205,,,0,19,https://i.ytimg.com/vi/OEzNjSOwF04/mqdefault.jpg,PH
IdLQxBZT3hI,What Does  BPA Free  Really Mean?,yes,24,yes,1627984790,2021-08-03 09:08:50,SGS,UC54a9cm8f7g6icaWTyRiwww,Science & Technology,,en,3140,14,,,0,0,https://i.ytimg.com/vi/IdLQxBZT3hI/mqdefault.jpg,PH
N6-RVw_qjhc,What Preppers Need to Know About BPA in Canned Foods,yes,27,yes,1654318119,2022-06-04 04:06:39,Emergency Survival Tips,UCAkIk9IOjF8y4r-SWqgNSPw,Science & Technology,,,1138,72,,,0,17,https://i.ytimg.com/vi/N6-RVw_qjhc/mqdefault.jpg,PH
QuMGc0EswTc,Are the BPA-Free Alternatives Safe?,yes,28,yes,1491998607,2017-04-12 12:04:27,NutritionFacts.org,UCddn8dUxYdgJz3Qr5mjADtA,Science & Technology,,en,47358,1128,,,0,115,https://i.ytimg.com/vi/QuMGc0EswTc/mqdefault.jpg,PH
AucGXmdl8tI,VIDEO: BPA in plastics linked to cancer,yes,29,yes,1522980515,2018-04-06 02:04:35,KSAT 12,UCETE4rKzRRjqM0JaB7TlPpQ,News & Politics,,,3581,38,,,0,5,https://i.ytimg.com/vi/AucGXmdl8tI/mqdefault.jpg,PH
DgYS4tnQ5MQ,Study finds more dangers from BPA,yes,30,yes,1357770135,2013-01-09 22:01:15,CBS News,UC8p1vwvWtl6T73JiExfWs1g,News & Politics,,,615,11,,,0,1,https://i.ytimg.com/vi/DgYS4tnQ5MQ/mqdefault.jpg,PH
kJ9XCwlHtek,Será que você deveria comprar plásticos sem BPA?,yes,31,no,1656455147,2022-06-28 22:06:47,Nunca vi 1 cientista,UCdKJlY5eAoSumIlcOcYxIGg,Science & Technology,,pt-BR,26780,4726,,,0,312,https://i.ytimg.com/vi/kJ9XCwlHtek/mqdefault.jpg,PH
_ut14OrPSuc,BPA found in food cans  study finds,yes,33,yes,1460378152,2016-04-11 12:04:52,CBS Mornings,UC-SJ6nODDmufqBzPBwCvYvQ,News & Politics,,,1805,23,,,0,5,https://i.ytimg.com/vi/_ut14OrPSuc/mqdefault.jpg,PH
pIqt1QdoVl4,What is BPA?,yes,34,yes,1225817320,2008-11-04 16:11:40,Children s Mercy Kansas City,UCGRnlf-yBeOMBpGauFnP43A,Education,,,8133,54,,,0,8,https://i.ytimg.com/vi/pIqt1QdoVl4/mqdefault.jpg,PH
vt-JyOrsBLY,BPA Plastic and Male Sexual Dysfunction,yes,36,no,1351164811,2012-10-25 11:10:31,NutritionFacts.org,UCddn8dUxYdgJz3Qr5mjADtA,Science & Technology,,en-US,26438,148,,,0,19,https://i.ytimg.com/vi/vt-JyOrsBLY/mqdefault.jpg,PH
97SeVkU_BDw,How do scientists measure if plastic containers are BPA-free? | Behind the Science,yes,38,yes,1529863504,2018-06-24 18:06:04,Behind the Science,UC2r_9AIg5HIg3iWl5zxQXhg,Science & Technology,,en,25161,55,,,0,11,https://i.ytimg.com/vi/97SeVkU_BDw/mqdefault.jpg,PH
DcwfZjJy7ss,Fica a Dica - Bisfenol A ou BPA,yes,39,no,1494364455,2017-05-09 21:05:15,FICA A DICA com Raphaella Cordeiro,UCbcFMORvaa7ZFT-YYuo0Fww,People & Blogs,,pt,21905,1278,,,0,0,https://i.ytimg.com/vi/DcwfZjJy7ss/mqdefault.jpg,PH
2q-hQFaIUGw,BPA,yes,40,no,1576750292,2019-12-19 10:12:32,group inou - Topic,UCDmb95DUOHAbpe2afnxoc1g,Music,,,27119,181,,,0,4,https://i.ytimg.com/vi/2q-hQFaIUGw/mqdefault.jpg,PH
mTheLA8X6WM,What is BPA? I Is BPA free plastics safe? 🍼I Effects of BPA I Plastic Identification codes I Tamil,yes,43,yes,1627209539,2021-07-25 10:07:59,TAMIL TALK 365,UCmPUG425cipAQjSaJoxf2uw,Education,,en,4876,110,,,0,14,https://i.ytimg.com/vi/mTheLA8X6WM/mqdefault.jpg,PH
f5d0Isu4I34,Drinking From Plastic (BPA) BOOSTS Testosterone Levels In Blood?,yes,44,yes,1678732916,2023-03-13 18:03:56,Boost Your Biology,UC4O8s5Eir3A0ULQ-0HOJr8Q,Science & Technology,,en,6056,286,,,0,51,https://i.ytimg.com/vi/f5d0Isu4I34/mqdefault.jpg,PH
z_OIS3B1_bw,How to Buy BPA-Free Water Bottles,yes,45,yes,1283956478,2010-09-08 14:09:38,Howcast,UCSpVHeDGr9UbREhRca0qwsA,Howto & Style,,en-US,10032,42,,,0,12,https://i.ytimg.com/vi/z_OIS3B1_bw/mqdefault.jpg,PH
ZxVUsIwvVIA,The Danger of BPA in Receipts and How to Avoid It.,yes,46,yes,1612620027,2021-02-06 14:02:27,ComfortLifeChannel,UC7SeJ63SOtcjnhM5Byv_Ouw,Howto & Style,,en,3061,121,,,0,31,https://i.ytimg.com/vi/ZxVUsIwvVIA/mqdefault.jpg,PH
tl0jooNQrJk,5 Tips to Reduce BPA Exposure,yes,47,yes,1439927229,2015-08-18 19:08:09,Cancer Center,UCkNrj1l4JLvLX7M42fJoLGw,Science & Technology,,en,2911,33,,,0,2,https://i.ytimg.com/vi/tl0jooNQrJk/mqdefault.jpg,PH
MdHoEzCjybI,Your athletic wear could contain high levels of BPA: Here s a list of brands affected,yes,50,yes,1684429466,2023-05-18 17:05:26,KCAL News,UCkH1uDkyuO9sVjSqdqBygOg,News & Politics,en,en,843,8,,,0,6,https://i.ytimg.com/vi/MdHoEzCjybI/mqdefault.jpg,PH
