name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
yD8Vz-mFHgI,Arsenic - Periodic Table of Videos,yes,7,no,1578485277,2020-01-08 12:01:57,Periodic Videos,UCtESv1e7ntJaLJYKIO1FoYw,Science & Technology,,en,1473557,34911,,,0,1844,https://i.ytimg.com/vi/yD8Vz-mFHgI/mqdefault.jpg,PH
qXK0j-X1vbM,Arsenic Poisoning -  placing arsenic in his coffee   Symptoms  Causes and treatment,yes,8,yes,1671915725,2022-12-24 21:12:05,Kote s Medical Animations,UCLXjINL1hfayHfX7oOy7--Q,Education,en,en,6029,62,,,0,7,https://i.ytimg.com/vi/qXK0j-X1vbM/mqdefault.jpg,PH
zRV1zsPmMNM,Arsenic and Old Lace,yes,9,no,1690809497,2023-07-31 13:07:17,KOAM News Now,UCOIy_NcDHSk4uLnpSXMIiDA,News & Politics,,,20,1,,,0,0,https://i.ytimg.com/vi/zRV1zsPmMNM/mqdefault.jpg,PH
nI1wNoXZIkc,The Deadly Trail of Arsenic Through the Ages,yes,10,no,1637334035,2021-11-19 15:11:35,Weird History,UCc-N24Y5OA0gqbjBwe1ttfA,Entertainment,,en,345260,9744,,,0,450,https://i.ytimg.com/vi/nI1wNoXZIkc/mqdefault.jpg,PH
-l6oazbXohs,The Truth About Arsenic in the Victorian Era,yes,11,no,1611507111,2021-01-24 16:01:51,Nicole Rudolph,UCca-WkVPVe9nzs2iFct4wxg,Howto & Style,,en-US,148834,9910,,,0,829,https://i.ytimg.com/vi/-l6oazbXohs/mqdefault.jpg,PH
BVht6JtufYE,Arsenic in Groundwater: A Hidden Health Threat to Many,yes,12,yes,1459174684,2016-03-28 14:03:04,MIT Civil and Environmental Engineering,UCXCgnDaK57yWkKd5UbIMiTw,Education,,,25668,292,,,0,0,https://i.ytimg.com/vi/BVht6JtufYE/mqdefault.jpg,PH
Dua7POsKQZY,5 Things to Know About Arsenic in Drinking Water,yes,13,yes,1521040844,2018-03-14 15:03:44,Water Nerd TV,UCp88-y4EGD5-sgyGu9eGCWw,People & Blogs,,en,26480,419,,,0,24,https://i.ytimg.com/vi/Dua7POsKQZY/mqdefault.jpg,PH
q7OjlgZuBnw,arsenic,yes,14,no,1598954985,2020-09-01 10:09:45,glaive - Topic,UCxv912oIfPiKdPZ5_rPziSg,Music,,,461752,6737,,,0,87,https://i.ytimg.com/vi/q7OjlgZuBnw/mqdefault.jpg,PH
5yGW1e2ia3U,Toxicology- Arsenic Metallic Poisoning MADE EASY!,yes,15,yes,1563736670,2019-07-21 19:07:50,Med Made Sirius-ly easy!,UCIvL77ICfawZmc1fHKzW9yA,Education,,en-US,74103,1055,,,0,82,https://i.ytimg.com/vi/5yGW1e2ia3U/mqdefault.jpg,PH
a2AbKwAvyos,Arsenic (version 1) - Periodic Table of Videos,yes,16,no,1216267614,2008-07-17 04:07:54,Periodic Videos,UCtESv1e7ntJaLJYKIO1FoYw,Science & Technology,,en-GB,373236,1942,,,0,130,https://i.ytimg.com/vi/a2AbKwAvyos/mqdefault.jpg,PH
ifavkrnVYsE,What in the World is Arsenic? Arsenic in our Food.,yes,17,no,1440688361,2015-08-27 15:08:41,National Library of Medicine,UC0l4yG9XqYtrR4E9lpzk7Ow,Education,,en,27271,339,,,0,60,https://i.ytimg.com/vi/ifavkrnVYsE/mqdefault.jpg,PH
E4nZDSLdIiM,Making 200 000 tons of arsenic dust safe,yes,19,no,1529334003,2018-06-18 15:06:03,Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,Education,en,en,2397588,55204,,,0,2453,https://i.ytimg.com/vi/E4nZDSLdIiM/mqdefault.jpg,PH
yGB0GwPYRj0,You re Eating Arsenic Laced Rice...Here s How To Avoid It!,yes,20,yes,1617282063,2021-04-01 13:04:03,FlavCity with Bobby Parrish,UCnq1w-56tAvMdDup-CL6Vtg,Howto & Style,en,en,1734038,43144,,,0,4148,https://i.ytimg.com/vi/yGB0GwPYRj0/mqdefault.jpg,PH
oqqWdaaTq7A,6 Deadly  Undetectable  Poisons (and How to Detect Them!),yes,21,no,1519596003,2018-02-25 22:02:03,SciShow,UCZYTClx2T1of7BRZ86-8fow,Education,en,en,2863832,54581,,,0,4029,https://i.ytimg.com/vi/oqqWdaaTq7A/mqdefault.jpg,PH
