id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
480478215,Box of chips on the ground,678,,,other,Other
168763062,Kitchen Counter Compost Bin or Bucket,679,,,other,Other
985883798,a garbage can on white background,680,Spain,,other,Other
1153686208,"Vegetable peels of carrots, potatoes and zucchini freshly peeled with a peeler",681,Italy,,other,Other
1217083891,Banana peel was thrown into the garbage bag for disposal. Look from the inside of the basket.,682,Thailand,,other,Other
157439422,Composting the Kitchen Waste,683,,,household_waste,Household waste
1321087603,Pile of different plastic items on white background,684,Ukraine,,other,Other
152954326,Green Flies on Rotting Vegetables ,685,,,fruit_vegetables_consumption,Fruit vegetables consumption
1305350817,Junk food and home delivery during covid-19 quarantine,686,Ukraine,,packaging,Packaging
959324106,Recycle kitchen waste for garden compost. Kitchen waste for green compos,687,UK,,fruit_vegetables_consumption,Fruit vegetables consumption
1363640936,Leftovers food in disposable plastic package. Food left on a bench in plastic lunch boxes.,688,Moscow - Russia|Russia,,packaging,Packaging
1166079431,Woman Throwing Vegetables In Trash Bin,689,Germany,,leftovers,Leftovers
1256880272,empty pizza delivery box on kitchen counter,690,Germany,,other,Other
1459520458,Fastfood foam parcel box discarded on the beach,691,Pakistan,,other,Other
1334428484,"ompost box outdoors full with garden browns and greens and food  wastes, blue shovel in the soil",692,Lithuania,,fruit_vegetables_consumption,Fruit vegetables consumption
1295788954,trashed coffee to go cups. Waste on white isolated background.,693,Germany,,other,Other
1317831600,Food Scraps for Composting Zero Waste,694,USA,,other,Other
1156911056,Cropped close up photo two people she her ladies arms hold dirty plates clean wash table holiday dishes kitchen apply forks knifes prepare dining loft room sweet cookies cafe restaurant indoors,695,Ukraine,,leftovers,Leftovers
1210634712,Woman has forogotten about preparing dinner. Burnt pancakes,696,Russia,,other,Other
1203710789,Slices of stale bread with green mildew on a white saucer over white wooden table. Spoiled bread with mold. Moldy fungus on rotten bread.,697,Bulgaria,,other,Other
1130906236,Three roll green eco garbage bag with copy space isolated on grey background.,698,Russia,,other,Other
872159840,pumpkin insides,699,Canada|North America,,fruit_vegetables_consumption,Fruit vegetables consumption
1083316408,Cotton bags and glass gar for free plastic shopping. Zero waste concept,700,Latvia,,other,Other
1417201181,men throwing a bread in a garbage bin,701,,,other,Other
510225505,Crumpled empty soda or beer can isolated on white,702,,,other,Other
1340561007,Organic food waste in a bin,703,,,household_waste,Household waste
1096557654,Shelf with food containers and glass jars full of dry food in zero waste shop.,704,Slovakia,,other,Other
