query,cluster,text,videosNumber,ids,querySlug
detox,1,vegan,7,7115021918650076442|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7273622331384171781|7296175191577677061,detox
detox,1,vitamins,3,7126559797712784666|7262110235572161797|7296175191577677061,detox
detox,2,rosmar,12,7059324838124571930|7059253609044643098|7059251089845112091|7069796075724475675|7081396864653757723|7081278315599891738|7081222052115500314|7081155512083025178|7092237222593744155|7149062101095419162|7149022979429616923|7307368280606395653,detox
detox,2,alagangrosmar,4,7081396864653757723|7081278315599891738|7081222052115500314|7081155512083025178,detox
detox,2,rosmarlangmalakas2022,3,7149062101095419162|7160786232782490906|7160661962911763738,detox
detox,3,detox,86,7059514102145649946|7059273292598758682|7069781429059718427|7069733558226554139|7069673870441188635|7081292076507204890|7081277828318186778|7081255407565425947|7081164591060765978|7092393908629425434|7092239140925869339|7092237341045132571|7092161800610811162|7103754531342765338|7103695137087196443|7103564146662247707|7115183549136801025|7115113520944909594|7115021918650076442|7114932487788219675|7114878002139319578|7126559797712784666|7126502513200729371|7138066828613438746|7138056735113186587|7138055653809032475|7149067787980377370|7160822478397394203|7160685994503572763|7160682180467789083|7160675842375388443|7171954130318069018|7171952804162981147|7171856782279724314|7171828331623550213|7171807079416565018|7171781851026066715|7171780078114770203|7183466021074865434|7183453954221673754|7183429417866120474|7183311033094704410|7183304854721416475|7183287781135813915|7183287553787710746|7183279789300616475|7183238540644437275|7194968676557131035|7194959172948020507|7194954140802354459|7194953236015566106|7194935200667766043|7205274504229063963|7216864373548141830|7216862920120995078|7216858664953482501|7216849158941035781|7216845120962923782|7216842390878080262|7216839157467942170|7216838737752345861|7227993232184003845|7227986824289930501|7227985701252500741|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7239454285711379718|7250631584385142022|7250626098977885446|7250621796460956933|7250618109038513413|7262110235572161797|7284717009848290566|7296188603636403462|7296175191577677061|7296147280577481989|7296146743035481350|7307398468543286534|7307386044679245061|7307344821700660486|7307328278535113990|7318884535368781062|7318769340457782534|7318762682532875525,detox
detox,3,detoxdrink,33,7059324838124571930|7069770988191239451|7069753795353365786|7115025838705282331|7126545987002305818|7149048555603266843|7160784013915983131|7171907232232181018|7183289499420560666|7216837695258086661|7227996900778183942|7227983902437084421|7239486444006427909|7239482441088470278|7239454285711379718|7239444832765201670|7250621796460956933|7262135518828317957|7262133636986572038|7273607696505392389|7284756607030889733|7284725246567992582|7284708606744874246|7284669336088841478|7296268877233655046|7296242586388303110|7296163878969314561|7296146743035481350|7307404945970482438|7307402482777394437|7307368280606395653|7318766142917594374|7318749480654785798,detox
detox,3,rosmarsdetoxdrink,7,7059253609044643098|7069796075724475675|7081396864653757723|7081278315599891738|7081222052115500314|7081155512083025178|7149062101095419162,detox
detox,3,detoxifying,3,7069761746352737562|7205278742787231002|7296163878969314561,detox
detox,3,detoxtea,3,7069753795353365786|7069678024102333723|7103887042001653019,detox
detox,3,rosmarsdetoxdrinkbiggestloserchallenge,5,7081396864653757723|7081278315599891738|7081222052115500314|7081155512083025178|7227983902437084421,detox
detox,3,detoxing,4,7092362565644307738|7138055653809032475|7250621796460956933|7262117057909525765,detox
detox,3,rosmardetoxdrink,4,7092237222593744155|7160786232782490906|7171851735449881882|7227983902437084421,detox
detox,3,detoxify,5,7092195998360997146|7183238540644437275|7262118494043409670|7284753836164517125|7296163878969314561,detox
detox,3,detoxification,3,7103564146662247707|7114996665609637147|7216835474361666821,detox
detox,3,detoxcoffee,17,7114911770971622682|7126376143069990171|7126327477714144539|7149079559395216666|7205288726463859994|7216862920120995078|7216858664953482501|7216846309444128006|7227995658563734790|7227986874898369798|7262120872897465606|7262118494043409670|7273634868804848901|7284772241760570629|7284771636845251846|7284748922621398277|7284721513134132485,detox
detox,3,detoxiglow,7,7126499260752842011|7126335376976792858|7138107246466190618|7138097699240316186|7138066995571985690|7171770146644626715|7205278742787231002,detox
detox,3,detoxiglowcoffee,5,7126499260752842011|7138097699240316186|7138066995571985690|7171770146644626715|7205278742787231002,detox
detox,3,detoxiglowcreamymacchiato,3,7138097699240316186|7171770146644626715|7307399951800208646,detox
detox,3,detoxislim,3,7149104794446204186|7183453954221673754|7205313230187679003,detox
detox,3,berryglowdetoxdrink,3,7183243305906359579|7194837310867819803|7318749480654785798,detox
