username,video_description,hashtag_names,id,like_count,music_id,region_code,comment_count,create_time,share_count,view_count
motdepras,#mdp le purificateur d'air @lavie.bio Ma nouvelle gourde quand je vais en dehors du périph. Roh cava 😘Un purificateur d'eau qui a besoin que du courant.#eau2go #lavie2go #gourde,"mdp,gourde,lavie2go,eau2go",7100227399622593797,27,7100227386976848646,FR,10,1653150517,0,577
diffuseuressenciel,liens du site dans la bio 🌟 #multicolor #bienetre #sante #parfum #diffuseurparfum #diffuseurhuilesessentielles #purificateurdair,"multicolor,parfum,sante,bienetre,diffuseurparfum,diffuseurhuilesessentielles,purificateurdair",7099518778198838533,5,7099518763515202309,FR,0,1652985528,1,275
robinjcjx,#purificateurdair  Amazon 45€,purificateurdair,7099328495007927558,83,6946266124041095169,FR,0,1652941230,0,2215
robinjcjx,#dyson #purificateurdair #ventilateur,"dyson,ventilateur,purificateurdair",7099117911452683526,155,6740262844136163330,FR,8,1652892194,12,11251
pimptalife,pas mal pour les ateliers et pour les parents de toutous a poils comme nous ça évite les moutons de poussière quand t'a la flemme de passer l'aspirateur et ça purifie ton air la fenêtre viens d'être ouverte il est monté en flèche #xiaomi #purificateurdair,"xiaomi,purificateurdair",7098255492102786309,13,6791673110715189250,FR,5,1652691411,0,665
ccindy7,rien de mieux que Hyla #purificateur #purificateurdair #aspirateurdyson #aspirateurbalai #menage #clean #pourtoi,"clean,pourtoi,menage,purificateur,aspirateurdyson,purificateurdair,aspirateurbalai",7096438065140387078,17,7096438038988950277,FR,7,1652268246,0,699
aromatouchdiffuser,"Et maintenant on ne se sépare plus, lien en bio 🍃 #huilesessentielles #huileparfumee #odeur #purificateurdair #meditation #bienetre","meditation,bienetre,odeur,huilesessentielles,huileparfumee,purificateurdair",7112840683639033094,8,6883642766681704449,FR,0,1656087277,0,128
beauvalletpauline,"𝐦𝐚 𝐬𝐨𝐥𝐮𝐭𝐢𝐨𝐧 𝐩𝐨𝐮𝐫 𝐮𝐧 𝐚𝐢𝐫 𝐬𝐚𝐢𝐧 𝐝𝐚𝐧𝐬 𝐦𝐚 𝐦𝐚𝐢𝐬𝐨𝐧....𝐞𝐧 𝐭𝐚𝐧𝐭 𝐪𝐮𝐞 𝐩𝐫𝐨𝐟𝐞𝐬𝐬𝐢𝐨𝐧𝐧𝐞𝐥𝐥𝐞 𝐝𝐞 𝐬𝐚𝐧𝐭𝐞, 𝐚𝐬𝐭𝐡𝐦𝐚𝐭𝐢𝐪𝐮𝐞 𝐞𝐭 𝐯𝐢𝐯𝐚𝐧𝐭 𝐝𝐚𝐧𝐬,𝐮𝐧𝐞 𝐟𝐞𝐫𝐦𝐞 𝐚𝐲𝐚𝐧𝐭 𝐝𝐮 𝐬𝐚𝐥𝐩𝐞𝐭𝐫𝐞....#airsain #puritiiair #respirerlibrement #ariix #newage #asthmatique #maisonplussaine #produitautop #professionneldesanté #assainir #nettoie #purificateur #purificateurdair","newage,asthmatique,nettoie,ariix,purificateur,produitautop,puritiiair,airsain,respirerlibrement,assainir,purificateurdair,professionneldesanté,maisonplussaine",7111437758710713605,1,7111437761432849158,FR,0,1655760634,2,408
laetitiamena1,Goden Week-end !!Promo de folie jusqu'à dimanche 12 juin !!1 produit offert dans chaque Packs + livraison Offerte !! 💥💥💥Sur nos gammes :✅️ Perte de poids ✅️ Cosmétique ✅️ Bien-être ✅️ Repousse Capillaire ✅️ Notre purificateur d'air ✨️⚠️ Stocks limités !! #winteam #newageariix #womeninspiration #jobpportunity #activitée #mamansolo #prothesisteongulaire #femmesanté #mamanindépendantes #mamanindépendantes,"winteam,prothesisteongulaire,womeninspiration,mamansolo,activitée,newageariix,femmesanté,mamanindépendantes,jobpportunity",7107644323382037766,4,6817768835098085377,FR,0,1654877406,1,354
aromatouchdiffuser,Purifions notre air intérieur et respirons sainement 🍃 lien en bio #purificateurdair #odeurs🤮 #tabac #pourtoi #tiktokmademebuyit,"pourtoi,tabac,tiktokmademebuyit,purificateurdair,odeurs🤮",7106119082017049861,18,6807321533988621061,FR,0,1654522284,1,626
