name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
MmSDCNiXrcQ,other,PFAS,PFAS Treatment: How we  clean up  the contamination,yes,30,no,1586401254,2020-04-09 03:04:54,Environmental Chemistry Explained,UCgW_stImMCcu31qut6i4jKQ,People & Blogs,,,7139,346,,,0,26,https://i.ytimg.com/vi/MmSDCNiXrcQ/mqdefault.jpg,EN,Other
5N5Qpl3AkM4,other,PFAS,What are PFAS?,yes,31,no,1603214224,2020-10-20 17:10:04,Minnesota Pollution Control Agency,UCGU_0yj95W6DRcExC0-MBdg,Education,,en,6348,66,,,0,0,https://i.ytimg.com/vi/5N5Qpl3AkM4/mqdefault.jpg,EN,Other
mjBRPGVYvaU,other,PFAS,PFAS in the garden: should we be concerned?,yes,34,no,1675704605,2023-02-06 17:02:05,Regenerative Gardening,UCpsXaDpRxBx4uC28y03nZGA,Howto & Style,,,3444,258,,,0,41,https://i.ytimg.com/vi/mjBRPGVYvaU/mqdefault.jpg,EN,Other
yjX1n2TP-ac,other,PFAS,PFAS Are the  Forever Chemicals  You ve Never Heard Of,yes,35,no,1624453186,2021-06-23 12:06:46,NowThis Earth,UCFH5dQAkGIqzcFYmM4tNtXw,Science & Technology,,en,38950,1276,,,0,186,https://i.ytimg.com/vi/yjX1n2TP-ac/mqdefault.jpg,EN,Other
ByJzGcS97JI,other,PFAS,PFAS  Forever No More,yes,36,no,1681928893,2023-04-19 18:04:13,Michigan Engineering,UCSvOdBJgMnTYsK-cZIGZSYQ,Science & Technology,,en-US,670,20,,,0,2,https://i.ytimg.com/vi/ByJzGcS97JI/mqdefault.jpg,EN,Other
KrVU12aHQ-o,other,PFAS,Consumer Reports tests nonstick pans that claim to be free of PFAS,yes,37,no,1670509637,2022-12-08 14:12:17,News4JAX The Local Station,UC_YFbvKedjnVjqrZqBR4L8Q,News & Politics,,,2708,25,,,0,1,https://i.ytimg.com/vi/KrVU12aHQ-o/mqdefault.jpg,EN,Other
zRHcYfeDPOc,other,PFAS,Which water filters can block PFAs,yes,38,no,1689118841,2023-07-11 23:07:41,CBS Colorado,UC_-gT7OYiRCK9Sp8SIv9WgQ,News & Politics,,en,1428,28,,,0,1,https://i.ytimg.com/vi/zRHcYfeDPOc/mqdefault.jpg,EN,Other
NZzVNcb01J8,other,PFAS,Researchers say  groundbreaking  test can identify PFAS levels in the blood,yes,39,no,1684232301,2023-05-16 10:05:21,13 ON YOUR SIDE,UCuveMoRCsg7-W6ePw6lq7tA,News & Politics,en,en,116,1,,,0,0,https://i.ytimg.com/vi/NZzVNcb01J8/mqdefault.jpg,EN,Other
-BQZJj1R8I8,other,PFAS,CEO Using Inflation To Justify Price-Gouging & Toxic PFAS Chemicals Found In EVERY US State,yes,40,no,1688050800,2023-06-29 15:06:00,The Ring of Fire,UCYWIEbibRcZav6xMLo9qWWw,News & Politics,,en-US,6457,738,,,0,72,https://i.ytimg.com/vi/-BQZJj1R8I8/mqdefault.jpg,EN,Other
xCmE2ARgEj0,other,PFAS,The PFAS scandal,yes,41,yes,1678187818,2023-03-07 11:03:58,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,23000,512,,,0,136,https://i.ytimg.com/vi/xCmE2ARgEj0/mqdefault.jpg,EN,Other
zZbrKnwSNmE,other,PFAS,Dr. Nemeth WARNS Against Using FLOSS Brands With “Forever Chemicals” PFAS,yes,42,yes,1668629668,2022-11-16 20:11:28,Joseph R Nemeth DDS,UCKBglnzX51P42TFA03wmLWg,Howto & Style,,en,20470,980,,,0,92,https://i.ytimg.com/vi/zZbrKnwSNmE/mqdefault.jpg,EN,Other
ErEads362Ss,other,PFAS,PFAS: The  Forever Chemicals,yes,45,no,1569528512,2019-09-26 20:09:32,Bloomberg Law,UCJL_gIOVp2fjfsKH4kbeEwA,News & Politics,,en-US,21707,291,,,0,18,https://i.ytimg.com/vi/ErEads362Ss/mqdefault.jpg,EN,Other
scOirI4jxqg,other,PFAS,What are PFAS?,yes,46,no,1679234435,2023-03-19 14:03:35,DW Planet A,UCb72Gn5LXaLEcsOuPKGfQOg,Education,,en,6100,299,,,0,19,https://i.ytimg.com/vi/scOirI4jxqg/mqdefault.jpg,EN,Other
E_lKNCLTQcM,other,PFAS,What Are PFAS And Why Are They in Our Drinking Water?,yes,47,no,1584529186,2020-03-18 10:03:46,Seeker,UCzWQYUVCpZqtN93H8RR44Qw,Science & Technology,en,en-US,66397,3381,,,0,244,https://i.ytimg.com/vi/E_lKNCLTQcM/mqdefault.jpg,EN,Other
iBc7TmbvO9E,other,PFAS,What are PFAS and why are they dangerous? Is teflon safe?,yes,48,no,1554724121,2019-04-08 11:04:41,PennLive.com,UC5yvng1eSgffmybUM-51fTw,News & Politics,,en,9750,76,,,0,8,https://i.ytimg.com/vi/iBc7TmbvO9E/mqdefault.jpg,EN,Other
NRk2QSulOQ8,other,PFAS,Minnesota brings in devices to remove PFAS from water,yes,49,no,1672372711,2022-12-30 03:12:31,FOX 9 Minneapolis-St. Paul,UClwddNv0Cr6SIEGkzVK886w,News & Politics,,en,14083,40,,,0,15,https://i.ytimg.com/vi/NRk2QSulOQ8/mqdefault.jpg,EN,Other
yjrDvaSyzW4,other,PFAS,What water filter is best for removing PFAS?,no,,yes,1689112273,2023-07-11 21:07:13,CBS Philadelphia,UCVuFPbAjTi3mqpH-0veJRWg,News & Politics,,en,929,25,,,0,1,https://i.ytimg.com/vi/yjrDvaSyzW4/mqdefault.jpg,EN,Other
rxeXcYO1AFw,other,PFAS,Study Finds Half of US Drinking Water Contains PFAS,no,,yes,1688747408,2023-07-07 16:07:08,Bloomberg Quicktake,UChirEOpgFCupRAk5etXqPaA,News & Politics,en,en,44592,338,,,0,424,https://i.ytimg.com/vi/rxeXcYO1AFw/mqdefault.jpg,EN,Other
0QycrIVwA1M,other,PFAS,Removing PFAS chemicals from wastewater being pioneered in Maine,no,,yes,1689374842,2023-07-14 22:07:22,NEWS CENTER Maine,UCQAUoXXSGHSntpTPvWwvXbg,News & Politics,en,en,2882,27,,,0,3,https://i.ytimg.com/vi/0QycrIVwA1M/mqdefault.jpg,EN,Other
163Kg67WbyE,other,PFAS,New PFAS-destroying technology coming to Grand Rapids,no,,yes,1689112128,2023-07-11 21:07:48,13 ON YOUR SIDE,UCuveMoRCsg7-W6ePw6lq7tA,News & Politics,en,en,592,8,,,0,2,https://i.ytimg.com/vi/163Kg67WbyE/mqdefault.jpg,EN,Other
vQbn56fUPPE,other,PFAS,What Are PFAS/PFOA And How Do You Remove Them From Your Water?,no,,no,1675434925,2023-02-03 14:02:25,US Water Systems,UCi7DRfsXpJgDe5-1EVssY9g,Howto & Style,,en,1239,43,,,0,2,https://i.ytimg.com/vi/vQbn56fUPPE/mqdefault.jpg,EN,Other
43ZbkT3lw0w,other,PFAS,PFAS and How to Remove the Silent Threat in Our Water,no,,yes,1593630501,2020-07-01 19:07:21,Kimley Horn,UCkWXPVHgEDqWBsAr852oQYQ,Education,,en-US,41543,899,,,0,134,https://i.ytimg.com/vi/43ZbkT3lw0w/mqdefault.jpg,EN,Other
YPqBJaT9w0k,other,PFAS,BEST Water Filters For PFAS Removal Review💧(Ultimate 2023 Guide To Removing Forever Chemicals),no,,yes,1659911254,2022-08-07 22:08:34,Freshnss,UCKCjJrtdRmLh2FFSJgxfGxg,Education,en-US,en-US,5195,94,,,0,13,https://i.ytimg.com/vi/YPqBJaT9w0k/mqdefault.jpg,EN,Other
