name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
oa6sGI72gRc,Onkruid vergaat niet  met deze tips kom je er toch vanaf.,yes,46,yes,1600245805,2020-09-16 08:09:25,Omroep Gelderland,UCagt7JeflSg-oP-7y9ayjYQ,News & Politics,nl,nl,20934,26,,,0,6,https://i.ytimg.com/vi/oa6sGI72gRc/mqdefault.jpg,NL
xa0CUCbbbpA,Panic Glyfosaat.flv,yes,47,no,1304512180,2011-05-04 12:05:40,RozenlandBVBA,UCHXcPIoX_1K0ifDjHq_bD4w,People & Blogs,,,601,,,,0,,https://i.ytimg.com/vi/xa0CUCbbbpA/mqdefault.jpg,NL
EZSMQyQvdCI,Landbouwminister Adema wil sámen met sector werken aan alternatief voor onkruidverdelger glyfosaat,yes,48,no,1666359900,2022-10-21 13:10:00,Kunst en Landschap,UChcrYiw8Pl47R87OWSK9G7w,Education,nl-NL,nl-NL,204,1,,,0,1,https://i.ytimg.com/vi/EZSMQyQvdCI/mqdefault.jpg,NL
q7DrJC8cyDE, Dit is een heksenjacht  de heer de Groot moet zich diep schamen | Interruptie mbt glyfosaat 10-02,yes,49,no,1644489863,2022-02-10 10:02:23,BoerBurgerBeweging BBB,UCfM3wJkxDt3q_MdnemGgKsw,News & Politics,,nl-NL,84813,1644,,,0,645,https://i.ytimg.com/vi/q7DrJC8cyDE/mqdefault.jpg,NL
ySrI3vO67go,Bezwaar Anja Hazekamp tegen de vijfjarige verlenging van glyfosaat in de EU,yes,50,no,1511887349,2017-11-28 16:11:29,Partij voor de Dieren,UCxYi4LA6lLGURr5-dxem36Q,News & Politics,,nl,331,21,,,0,4,https://i.ytimg.com/vi/ySrI3vO67go/mqdefault.jpg,NL
1j77k1r5IDI,TOP 10 BEST GLYPHOSATE BRAND | Vlog#10,yes,1,yes,1661988754,2022-08-31 23:08:34,T- Farmer,UCzpxz_YTa-jXYpUHnov29UQ,People & Blogs,,,11987,79,,,0,16,https://i.ytimg.com/vi/1j77k1r5IDI/mqdefault.jpg,PH
njf4oLTJYvs,Glyphosate:  The most toxic product ever invented by man ,yes,2,yes,1547460611,2019-01-14 10:01:11,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,,en,27606,598,,,0,360,https://i.ytimg.com/vi/njf4oLTJYvs/mqdefault.jpg,PH
Esx4LkCLj3c,The harmful effects of Glyphosate (and what you can do about it),yes,3,yes,1690200703,2023-07-24 12:07:43,Goodness Lover,UCITkQMWPri8MxjIXTre5j8Q,Education,,en-GB,2250,69,,,0,9,https://i.ytimg.com/vi/Esx4LkCLj3c/mqdefault.jpg,PH
A1J0aa-9ZpE,Glyphosate vs Round up | The ULTIMATE LAWN AND WEED KILLER,yes,4,yes,1595985017,2020-07-29 01:07:17,Princess Cut Lawn Care,UCq0p8LiC9_xsSi_3qrcvm1w,Howto & Style,,en,176984,3981,,,0,426,https://i.ytimg.com/vi/A1J0aa-9ZpE/mqdefault.jpg,PH
7T3yARHwWWw,Top 10 Side Effects of Glyphosate,yes,5,yes,1643117658,2022-01-25 13:01:18,Pure and Premium Health,UCyjaRT0oPB8TOEvIF8RnAPQ,Education,,en,8915,99,,,0,29,https://i.ytimg.com/vi/7T3yARHwWWw/mqdefault.jpg,PH
lFlHdFd91JI,The Food With the Highest Glyphosate (Roundup),yes,6,yes,1631534432,2021-09-13 12:09:32,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en,en-US,256145,9655,,,0,1132,https://i.ytimg.com/vi/lFlHdFd91JI/mqdefault.jpg,PH
UwB4ZsX6OSo,4 Glyphosate Foods to Avoid #shorts,yes,7,yes,1685714444,2023-06-02 14:06:44,Dr. Janine Bowring  ND,UCHP3G9mWR21e_dZme5-Nicg,Howto & Style,en,en,59482,4552,,,0,116,https://i.ytimg.com/vi/UwB4ZsX6OSo/mqdefault.jpg,PH
Ng_PtxuUtNE,Glyphosate (Herbicide)-----TOXIN?,yes,8,yes,1621212226,2021-05-17 00:05:46,Dr. Jin W. Sung,UCYYVgJkHk4v-_poEVL1A8JA,Education,,,10018,442,,,0,50,https://i.ytimg.com/vi/Ng_PtxuUtNE/mqdefault.jpg,PH
_-1ZTFE-h50,How To Kill A Lawn With Glyphosate or  RoundUp ,yes,9,yes,1461516064,2016-04-24 16:04:04,The Lawn Care Nut,UCSjF378bQhLKO-ISsrHE7ng,Howto & Style,,en-US,186460,1315,,,0,252,https://i.ytimg.com/vi/_-1ZTFE-h50/mqdefault.jpg,PH
bsCIir-IfRI,EWG Explains: Glyphosate,yes,10,yes,1563462700,2019-07-18 15:07:40,Environmental Working Group (EWG),UC0HuASskjV3jhgj2ONLc8VA,Howto & Style,,en,19788,232,,,0,35,https://i.ytimg.com/vi/bsCIir-IfRI/mqdefault.jpg,PH
bhd6KXoMEwg,The Toxic Legacy of Glyphosate with Dr. Stephanie Seneff - Dr. Osborne s Zone,yes,11,yes,1684885835,2023-05-23 23:05:35,Peter Osborne,UCoiSo5WDJmRxOf2cqgC7DSg,Education,en,en,6949,507,,,0,143,https://i.ytimg.com/vi/bhd6KXoMEwg/mqdefault.jpg,PH
TYTsQbahME0,Natural Ways to Reduce Glyphosate (GMO chemicals) in Body – Dr.Berg On GMO Foods & Toxic Chemicals,yes,12,yes,1557748804,2019-05-13 12:05:04,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en,en,84861,4371,,,0,436,https://i.ytimg.com/vi/TYTsQbahME0/mqdefault.jpg,PH
vsbYyUfLwh8,How Roundup Kills Weeds (And How Weeds are Fighting Back),yes,13,yes,1663160437,2022-09-14 13:09:37,Reactions,UCdJ9oJ2GUF8Vmb-G63ldGWg,Science & Technology,en,en,14293,718,,,0,122,https://i.ytimg.com/vi/vsbYyUfLwh8/mqdefault.jpg,PH
CvklOLo0C6k,Magaling na Pamatay ng damo na pwede sa Mais | Systemic herbicide | Glyphosate 480SL | Aljay,yes,14,no,1665384896,2022-10-10 06:10:56,AGRICULTURIST,UCHah8ZbHNxl5b3BtZAJPJAA,People & Blogs,,en-US,6423,72,,,0,15,https://i.ytimg.com/vi/CvklOLo0C6k/mqdefault.jpg,PH
ckn6LtA77q0,Glyphosate increases risk of cancer; CDC study raises alarm in US | World English News | WION,yes,15,yes,1657457101,2022-07-10 12:07:01,WION,UC_gUM8rL-Lrg6O3adPW9K1g,News & Politics,en,en,31900,500,,,0,146,https://i.ytimg.com/vi/ckn6LtA77q0/mqdefault.jpg,PH
1goPrr2Q5sA,The most common herbicides | glufosinate ammonium vs glyphosate,yes,16,no,1664361033,2022-09-28 10:09:33,kenvos bio,UCw0gnEVvlR8vo9VfL_gJ4qA,Howto & Style,,,3607,18,,,0,1,https://i.ytimg.com/vi/1goPrr2Q5sA/mqdefault.jpg,PH
k84Pr1mDtdU,Glyphosate - How it Works,yes,17,yes,1330394661,2012-02-28 02:02:21,the Rack,UCuppUiStUqd-BrMZfwRYv1A,Science & Technology,,,42240,148,,,0,11,https://i.ytimg.com/vi/k84Pr1mDtdU/mqdefault.jpg,PH
saaxI1zonjg,12 Glyphosate How it Works,yes,18,yes,1521478989,2018-03-19 17:03:09,Bio Minerals Technologies  Inc.,UCkwkB9AWFrb9tPcEjW1TFbQ,Science & Technology,,,31059,626,,,0,126,https://i.ytimg.com/vi/saaxI1zonjg/mqdefault.jpg,PH
qYIvCOdOlQA,Glyphosate Misinformation,yes,19,yes,1660796268,2022-08-18 04:08:48,Food Science Babe,UC9J8h8zQZIIHf-0EoOoNlkA,People & Blogs,,en-US,4645,125,,,0,27,https://i.ytimg.com/vi/qYIvCOdOlQA/mqdefault.jpg,PH
-dwWQZkJ5r8,The Harmful Effects Of Glyphosate  The Most Common Agrochemical,yes,20,yes,1596009600,2020-07-29 08:07:00,Mark Hyman  MD,UC5IuDMmKWSsBFB0iKky6aEQ,Entertainment,,en,387111,12899,,,0,2574,https://i.ytimg.com/vi/-dwWQZkJ5r8/mqdefault.jpg,PH
RbcxTAFjEAs,Tree Drill/Kill 1oz Undiluted Glyphosate,yes,21,yes,1563538755,2019-07-19 12:07:15,PeanutButterMan,UCWSThtI54RnRtS5myxs-JnQ,People & Blogs,,,413715,2960,,,0,541,https://i.ytimg.com/vi/RbcxTAFjEAs/mqdefault.jpg,PH
89yc0LxJToM,Does Roundup (Glyphosate) Kill Grass Permanently?,yes,22,yes,1676122202,2023-02-11 13:02:02,Turf Mechanic,UCMjINzGureVoSJDXqRV__9Q,People & Blogs,,en-US,12055,153,,,0,44,https://i.ytimg.com/vi/89yc0LxJToM/mqdefault.jpg,PH
baJfNgDQUYI,How Long does glyphosate (found in Roundup) take to kill weeds?,yes,23,yes,1471526849,2016-08-18 13:08:29,Lawn Care Life,UCjFS4ysYD6-70upB7KkyF9w,Howto & Style,en,en-US,125601,452,,,0,86,https://i.ytimg.com/vi/baJfNgDQUYI/mqdefault.jpg,PH
Z8xuyoKZv4s,Glyphosate - A Global Health Threat  with Stephanie Seneff | The Empowering Neurologist EP. 127,yes,24,yes,1624899615,2021-06-28 17:06:15,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,71236,3276,,,0,644,https://i.ytimg.com/vi/Z8xuyoKZv4s/mqdefault.jpg,PH
tKhK1gzVbzM,Glyphosate (Round up) in your soils? My concern with glyphosate  and things you can do.,yes,25,yes,1674644438,2023-01-25 11:01:38,Canadian Permaculture Legacy,UCfz0O9f_Ysivwz1CzEn4Wdw,People & Blogs,en-CA,en-CA,3800,359,,,0,146,https://i.ytimg.com/vi/tKhK1gzVbzM/mqdefault.jpg,PH
cqTR7KR0tZE,What is Herbicide Glyphosate? || What are the new rules made on the use of Glyphosate in India?,yes,26,no,1667035810,2022-10-29 09:10:10,Dhyeya IAS,UCMXdi-xFPcZV2tDXlHuZHgw,Education,en,hi,19088,988,,,0,28,https://i.ytimg.com/vi/cqTR7KR0tZE/mqdefault.jpg,PH
