query,queryLabel
water_pollution,Water pollution
air_pollution,Air pollution
food_pollution,Food pollution
food_waste,Food waste
microplastics,Microplastics
organic_farming,Organic farming
pesticides,Pesticides
products_pollution,Products pollution
soil_pollution,Soil pollution
urban_farming,Urban farming
