query,querySlug,cluster,clusterLabel,text,videosNumber,ids
glyphosate,glyphosate,monsanto,Monsanto,endometriose,4,7316069235082431776|7315875322954583329|7316069235082431776|7315875322954583329
glyphosate,glyphosate,monsanto,Monsanto,tampons,5,7315875322954583329|7315839705621237024|7315875322954583329|7315839705621237024|7171610402516782382
glyphosate,glyphosate,monsanto,Monsanto,mycotoxins,3,7069852132203056430|7273212875701816607|7273189534387457323
glyphosate,glyphosate,monsanto,Monsanto,heavymetaltoxicity,3,7069852132203056430|7159643371508813102|7239072468571262254
glyphosate,glyphosate,monsanto,Monsanto,monsantokills,4,7068016781868338478|7273455658127625514|7284356531208899883|7284355428069149994
glyphosate,glyphosate,monsanto,Monsanto,nontoxic,3,7065379283170151727|7125876584594083118|7171913514695593222
glyphosate,glyphosate,monsanto,Monsanto,toxins,7,7079961985844235566|7101700550541970731|7148838505618197806|7181498210043874606|7216790312771947818|7239335585951894826|7296089614807371054
glyphosate,glyphosate,monsanto,Monsanto,hormones,8,7101700550541970731|7137474774124481838|7171960307810635051|7181498210043874606|7227204491525917998|7239121237295877418|7239072468571262254|7273189534387457323
glyphosate,glyphosate,monsanto,Monsanto,microbiome,4,7101700550541970731|7181498210043874606|7227204491525917998|7261337503402102058
glyphosate,glyphosate,monsanto,Monsanto,toxinfree,3,7126550781624438058|7182641843547557166|7182412473851497774
glyphosate,glyphosate,monsanto,Monsanto,rootcause,3,7126550781624438058|7273189534387457323|7318400014332611871
glyphosate,glyphosate,monsanto,Monsanto,antiinflammatory,4,7137902874595495195|7193686978058063109|7261337503402102058|7318773180355595566
glyphosate,glyphosate,monsanto,Monsanto,endocrinedisruptors,3,7137822286459178286|7137474774124481838|7239072468571262254
glyphosate,glyphosate,monsanto,Monsanto,bigpharma,4,7149307964065778990|7204548253113683243|7239084391081725226|7250582471367232814
glyphosate,glyphosate,monsanto,Monsanto,moldtoxicity,3,7148838505618197806|7182954347746168110|7273189534387457323
glyphosate,glyphosate,monsanto,Monsanto,moldillness,3,7148838505618197806|7182954347746168110|7273189534387457323
glyphosate,glyphosate,monsanto,Monsanto,inflammation,10,7148491275141057838|7171661779569741098|7182954347746168110|7181498210043874606|7204226560751127854|7204216430160645419|7216088253013806379|7227204491525917998|7239121237295877418|7295938904027401518
glyphosate,glyphosate,monsanto,Monsanto,mycotoxin,19,7160703878302813482|7160703107943419182|7160693020139081002|7160655763755552043|7160655124413680938|7160511527844400426|7216843275955604778|7227653324231724330|7239373272394059054|7238790737138158894|7238790036743884075|7238789225955495211|7238788689885711659|7238787963952434474|7261660232034569515|7261233087978327342|7284492817034923307|7284489139012078894|7318254133834829099
glyphosate,glyphosate,monsanto,Monsanto,nontoxicliving,5,7171913514695593222|7261566747117997338|7296098911922457899|7307255023312981291|7318531827629591851
glyphosate,glyphosate,monsanto,Monsanto,immunesystem,4,7181498210043874606|7227204491525917998|7284490036060409118|7318517692032519470
glyphosate,glyphosate,monsanto,Monsanto,chemicalfree,3,7216467926763719978|7238815976576371969|7261337503402102058
