query,cluster,text,videosNumber,ids
air purifier,10,luchtreiniger,70,7103875966858055000|7098978897898900000|7098601684628147000|7098345348480962000|7097149463302639000|7096757203272551000|7109468559910112000|7108744815336099000|7104992907538550000|7104931563854466000|7104185909016301000|7123636427644095000|7158822826806349000|7158822520102129000|7158514711053471000|7153607822373146000|7188139726304595000|7225993279412751000|7218326856733396000|7241840687229013000|7240807789159845000|7260518174779510000|7260083491562343000|7296129869476269000|7293230115796848000|7291630522260901000|7286090568705347000|7299972785877585000|7309113621127253000|7308455815042567000|7218326856733396000|7260083491562343000|7291630522260901000|7286090568705347000|7309113621127253000|7103875966858055000|7098978897898900000|7098601684628147000|7098345348480962000|7097149463302639000|7096757203272551000|7094301951470472000|7109468559910112000|7108744815336099000|7104992907538550000|7104931563854466000|7104185909016301000|7123636427644095000|7131098968758537000|7158822826806349000|7158822520102129000|7158514711053471000|7153607822373146000|7188139726304595000|7196676928420498000|7196228434794761000|7225993279412751000|7219978896555494000|7218326856733396000|7241840687229013000|7240807789159845000|7260518174779510000|7260083491562343000|7296129869476269000|7293230115796848000|7291630522260901000|7286090568705347000|7299972785877585000|7309113621127253000|7308455815042567000
air purifier,10,airpurifierrecommendation,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,10,luchtreiniging,6,7158514711053471000|7188139726304595000|7299972785877585000|7158514711053471000|7188139726304595000|7299972785877585000
air purifier,10,cleanair,6,7199073356983864000|7301694960598846000|7094301951470472000|7196676928420498000|7196228434794761000|7219978896555494000
air purifier,10,air,5,7079956544904891000|7093357361758277000|7195956715265789000|7195866359291481000|7221284849594748000
air purifier,10,pureair,4,7158514711053471000|7276190636754210000|7276183381577059000|7158514711053471000
air purifier,10,symbiotischereiniging,4,7233707382474427000|7300501306156912000|7233707382474427000|7300501306156912000
air purifier,10,lucht,4,7303465507280260000|7303465507280260000|7094301951470472000|7303465507280260000
air purifier,10,purifier,4,7166637803013443000|7166272805489692000|7195956715265789000|7195866359291481000
air purifier,10,winixairpurifier,3,7218326856733396000|7218326856733396000|7218326856733396000
air purifier,10,luchtreinger,3,7303465507280260000|7303465507280260000|7303465507280260000
air purifier,10,luchtreinigers,3,7299972785877585000|7232287834248416000|7299972785877585000
air purifier,10,miniairpurifier,3,7202674137012194000|7202673874075454000|7202673850876792000
air purifier,10,luchtkwaliteit,3,7094301951470472000|7171427638903344000|7176327359514136000
air purifier,11,diffuser,8,7169248153902812000|7172545266812243000|7225766345772764000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000|7299109827920285000
air purifier,11,aromatherapydiffuser,5,7169248153902812000|7172545266812243000|7230822845226536000|7230580030835871000|7299109827920285000
air purifier,11,oildiffuser,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,11,pengharumruangan,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,11,diffusers,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,11,essentialoildiffuser,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,11,diffuserblends,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,11,aromadiffuser,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,11,diffuseryoungliving,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,11,jualdiffuser,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,11,diffusermurah,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,11,jualdiffusermurah,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,11,diffuserhumidifier,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,11,diffuserjakarta,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,12,gift,7,7148623191156493000|7166637803013443000|7172545266812243000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
