name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
-EJ-4koV7m0,Asbestos and Human History,yes,37,no,1579093582,2020-01-15 13:01:22,The History Guy: History Deserves to Be Remembered,UC4sEmXUuWIFlxRIFBRV6VXQ,Education,,en-US,607935,28272,,,0,1992,https://i.ytimg.com/vi/-EJ-4koV7m0/mqdefault.jpg,EN
QqZ00AOpPPk,Rodney Snare - Asbestos story - Shoosmiths Serious Injury video,yes,38,no,1577097921,2019-12-23 10:12:21,Shoosmiths Serious Injury,UCz-u5tfW42g6-mLUO-IfAEQ,People & Blogs,,en-GB,209,1,,,0,,https://i.ytimg.com/vi/QqZ00AOpPPk/mqdefault.jpg,EN
HwAFHwNAOz0,Were You Exposed to Asbestos in the Military? | Watch This!,yes,39,yes,1593011417,2020-06-24 15:06:17,Hill and Ponton  P.A.,UCU-M1eXHEVrscZcg9q1vF2Q,Education,,en,7405,173,,,0,44,https://i.ytimg.com/vi/HwAFHwNAOz0/mqdefault.jpg,EN
lx1tsKc4ClE,The HORRIFYING History of Asbestos,yes,40,yes,1686943386,2023-06-16 19:06:06,Disturban History,UCbo29S4vDoSSKnaGhx1YMzQ,Education,,en-GB,289081,9255,,,0,1022,https://i.ytimg.com/vi/lx1tsKc4ClE/mqdefault.jpg,EN
XOMCt8ug0Ms,Asbestos Litigation: Past  Present  & Future Webinar,yes,41,no,1653394351,2022-05-24 12:05:31,Beasley Allen,UClKy8CcGsymZSMi4br4Ewaw,News & Politics,,en,278,9,,,0,0,https://i.ytimg.com/vi/XOMCt8ug0Ms/mqdefault.jpg,EN
BI9fhx4OKz4,Health Effects of Asbestos,yes,42,no,1669216311,2022-11-23 15:11:51,SafeStateAL,UClKJ1ToFQHVy4DXXI_MVymw,Education,,en,567,4,,,0,1,https://i.ytimg.com/vi/BI9fhx4OKz4/mqdefault.jpg,EN
_6dljPJksYQ,Diseases from Inhaling Asbestos,yes,43,no,1206130410,2008-03-21 20:03:30,markdcatlin,UC-gdcLFOAFSZ85Jf1wWK0hQ,Education,,,14385,12,,,0,5,https://i.ytimg.com/vi/_6dljPJksYQ/mqdefault.jpg,EN
4qKQeCbw7og,What does Asbestos Ore Look Like?,yes,44,yes,1684976402,2023-05-25 01:05:02,GeologyHub,UCYeGh5VML5XPr5jYnzh3J6g,Education,,en,14990,1135,,,0,35,https://i.ytimg.com/vi/4qKQeCbw7og/mqdefault.jpg,EN
08z4khn3EAs,Asbestos Air Sampling - How to tell if you have asbestos in the air.,yes,45,yes,1555003571,2019-04-11 17:04:11,The Essel Channel ,UCW1vRTm0srlPZc1NUWWrX5w,Comedy,,en,17373,117,,,0,14,https://i.ytimg.com/vi/08z4khn3EAs/mqdefault.jpg,EN
vL20S4qGpEY,How Much Asbestos Exposure Can Cause Mesothelioma Cancer? Railroad FELA Lawyer Provides Answer,yes,46,yes,1343223717,2012-07-25 13:07:57,Shapiro  Washburn & Sharp Personal Injury Lawyers,UCG2Rzb6vxZFwW2dpioiVUKQ,People & Blogs,,,26731,93,,,0,67,https://i.ytimg.com/vi/vL20S4qGpEY/mqdefault.jpg,EN
1UCt2Y21LX0,An Introduction to Asbestos,yes,47,yes,1507293996,2017-10-06 12:10:36,Louisiana Department of Environmental Quality,UCP0mXFCk7gdZRpyAJYxDIRw,People & Blogs,,,27076,164,,,0,29,https://i.ytimg.com/vi/1UCt2Y21LX0/mqdefault.jpg,EN
