id,title,rank,keyword_Location,cluster,clusterLabel
1357343605,"Iceberg with a plastic garbage bag underwater, the concept of pollution of the oceans and nature. Garbage in the water and melting glaciers. Environmental pollution",841,Arctic|Antarctica,other,Other
1085998034,Plastic Bag Drifting in Ocean,842,Raja Ampat Islands|Indonesia|Coral Triangle,waste_underwater,Waste underwater
1081158058,Diggers (urban explorers) are exploring underground river flowing in round sewer tunnel,843,Voronezh|Russia,other,Other
1399213509,Leachate Pond,844,Canada,other,Other
1398951262,waste water running  from a out of a metal pipe onto pond. Sewage drains into the river. Environmental pollution. Ecological catastrophe and disaster.,845,Russia,pipes,Pipes
1489378220,Discarded fishing net on a coral reef,846,Dauin|Philippines,waste_underwater,Waste underwater
1186164789,"garbage in water, a large trash spot in the Pacific Ocean.",847,Netherlands,waste_underwater,Waste underwater
1336295105,glass globe and the green leaves,848,Europe|Japan|United Nations Building|Africa,other,Other
1087837566,Used Plastic Water Bottle floating on the sea surface.,849,Cornwall - England|UK,other,Other
1221850553,Mother and kids are picking up the garbage to clean up the forest,850,Serbia,people_cleaning,People cleaning
518656745,Danger Lead Removal Cordon Tape,851,Carnation - Washington State|Washington State,other,Other
1150805306,Beach with plastic cups and straws,852,Spain,waste_on_the_beach,Waste on the beach
135379385,Water Crown.,853,,other,Other
97151113,Wastewater sanitation plant,854,,other,Other
1391215155,A volunteer in rubber gloves reaches for a dirty plastic bottle lying on the ocean shore. Hand close-up. The concept of clean up of wild beach,855,Russia,people_cleaning,People cleaning
172259171,Water pollution,856,,other,Other
1194536760,Young woman picking up garbage from rocky shore,857,Norway,people_cleaning,People cleaning
1282796446,Plastic and other debris floats underwater in blue water. Plastic garbage polluting seas and ocean,858,West Asia|Egypt|Sharm el-Sheikh,waste_underwater,Waste underwater
471781466,Burning ship,859,,other,Other
966721668,Tilapia Fish in farm,860,Thailand|Africa,other,Other
160620376,Water treatment plant,861,,water_clarifiers,Water clarifiers
1479589027,Biologist wear protective suit and mask collects sample of waste water from industry,862,Thailand,experts_analysing,Experts analysing
514627984,Environmental protection: Ducks family in dirty water,863,,oil_in_water,Oil in water
1055664376,Aerial View of Water Purification Plant,864,Bavaria|Germany,water_clarifiers,Water clarifiers
157193442,Septic Tank Maintenance,865,,other,Other
1064101110,"Eurasian Coot sits on a nest made of twigs and trash, in a partially sunk boat in an Amsterdam canal",866,Netherlands|Eurasia|Amsterdam,other,Other
519714102,Radioactive Waste Near Water,867,,other,Other
667302312,Offshore oil and rig construction damaged because worst case or fire case which can't control situation. Oil spill into the sea because incorrect of operation and accident in job out of safety rule.,868,Thailand,oil_platforms,Oil platforms
1137585759,Dark and creepy old historical vaulted flooded underground drainage tunnel,869,Russia,other,Other
890736656,Jointing shaped element of galvanized metal construction close-up. Limited depth of field.,870,Standing Rock Indian Reservation|Midwest USA|Russia,other,Other
185112111,water purification system,871,,other,Other
1185655905,"hand, in a protective glove, collects in a test tube liquid from water, for sample",872,Russia,people_cleaning,People cleaning
1055664596,Aerial View of Water Purification Plant,873,Bavaria|Germany,water_clarifiers,Water clarifiers
114410653,three cigarette butts,874,,other,Other
888421572,Sewer tunnel worker in chemical protective suite in underground gassy sewer tunnel,875,Voronezh|Russia,other,Other
994823332,Discarded plastic bottle garbage pollution on the beach,876,Thailand|Ko Lanta,other,Other
654100060,"Plastic garbage in the river on sunset, pollution and environment concept",877,Thailand,other,Other
1435661711,Portrait of recycler girl with plastics in a bin at the beach,878,Latin America|Mexico,people_cleaning,People cleaning
1283893095,Water quality checking,879,Serbia,experts_analysing,Experts analysing
1273200808,Water pollution.,880,Russia,experts_analysing,Experts analysing
1345539047,"unrecognizable person collects trash in gloves, blurred background, close-up of a plastic bottle",881,,people_cleaning,People cleaning
577310474,Child's Hands Under Water Tap,882,Africa|India|Asia|Nepal,other,Other
515278505,Oil Drum,883,,other,Other
1152392604,Plastic Rubbish on the Beach,884,Australia,other,Other
1219617629,Hand of a man holding a disposable straw,885,Greece,other,Other
525980542,Burning ship on sea,886,,other,Other
653536316,ecology concept,887,Russia|Pearl Harbor|Pacific Islands,oil_in_water,Oil in water
179260372,"Water shrew, Neomys fodiens",888,UK,other,Other
1298580696,Oil and garbage pollution.,889,Russia|Vladivostok,other,Other
1088663716,Environmental Issue Underwater single use Plastic pollution in the Ocean,890,Thailand,waste_underwater,Waste underwater
1135216355,Spilled seaport garbage by the sea of a big city. Empty used dirty plastic bottles. Large amount urban rubbish. Dirty pier city port. Environmental pollution. Ecological problem. Bokeh city buildings,891,Bulgaria,waste_on_the_beach,Waste on the beach
1189450357,Microplastic in the hand of a man on the beach. Environmental pollution and water micro plastic.,892,,microplastics,Microplastics
1272686968,"Father with small son collecting rubbish outdoors in nature, plogging concept.",893,Slovakia,people_cleaning,People cleaning
1166583178,"Plastic bottle with fish, pollution that floats in the ocean",894,Netherlands,waste_underwater,Waste underwater
862189462,"Illegal dumping in the nature with ""No Dumping"" sign indicating in the countryside - concept image",895,Italy|Forbidden City,other,Other
1219939468,The medical mask is thrown out and lies on the waste.,896,Russia,other,Other
959157456,Close Up Of Person Collecting Plastic Waste From Polluted Beach Using Litter Picker,897,UK,people_cleaning,People cleaning
1203122053,Empty plastic bottle floats in water. Ocean pollution concept. Global warming. View under water,898,Belarus|Arctic,other,Other
1334635661,"Midouze in flood, in the Landes",899,France,other,Other
1254710477,Protective mask discarded and thrown on the ocean. Abandoned facemask,900,,waste_underwater,Waste underwater
1010745652,plastic bag environment pollution with iceberg of trash,901,Thailand|Greenland|North America,waste_underwater,Waste underwater
471632770,Collage of power and energy concepts,902,,other,Other
598811970,Red and Golden Tailing Ponds under Blue Sky Summer Day,903,Australia,oil_in_water,Oil in water
