name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
1paOs6CSkmM,other,,Indigenous Women Entrepreneurship Program - Role Model - Dawn Rossignol,no,,no,1689864319,2023-07-20 14:07:19,NACCA - National Aboriginal Capital Corporations Association,UCaXCp7Wum6zc46Vw0736NUA,People & Blogs,,en,5,0,,,0,0,https://i.ytimg.com/vi/1paOs6CSkmM/mqdefault.jpg,FR,Other
nRhr_tILbOM,other,,AfterShock - Nepal s untold water story,no,,no,1474997326,2016-09-27 17:09:46,WaterAid,UC3JVuo2A_Am7XW5tkFZRi5A,Nonprofits & Activism,,en-GB,30535,119,,,0,4,https://i.ytimg.com/vi/nRhr_tILbOM/mqdefault.jpg,FR,Other
sDjDtT1nJdg,other,,360 Tour: A Rural Village in Ethiopia Gets Clean Water,no,,no,1524696192,2018-04-25 22:04:12,Lifewater,UC2ioHflkEsMaUtbSCZ_tUAA,Nonprofits & Activism,,en,16638,85,,,0,3,https://i.ytimg.com/vi/sDjDtT1nJdg/mqdefault.jpg,FR,Other
pzehE5A1Oi4,other,,Iceland’s Glaciers - 360 | Into Water,no,,no,1573131607,2019-11-07 13:11:07,National Geographic,UCpVm7bg6pXKo1Pr6k5kxG9A,Entertainment,,en,497220,4829,,,0,200,https://i.ytimg.com/vi/pzehE5A1Oi4/mqdefault.jpg,FR,Other
ROL4wMffx28,other,,Hunting sunken treasure in the Bahamas,no,,no,1690723560,2023-07-30 13:07:00,CBS Sunday Morning,UCVT1tPkR-fUVlO652EcO3ow,News & Politics,,en,100444,1124,,,0,92,https://i.ytimg.com/vi/ROL4wMffx28/mqdefault.jpg,FR,Other
htlM0pGo0nE,other,,Wacken droht Schlammschlacht: Regenwetter erschwert Anreise aufs Festival,no,,no,1690886702,2023-08-01 10:08:02,tagesschau,UC5NOEUbkLheQcaaRldYW5GA,News & Politics,de,de-DE,30409,300,,,0,,https://i.ytimg.com/vi/htlM0pGo0nE/mqdefault.jpg,FR,Other
gUtZ2FejpPg,other,,Nach Dauerregen: Anreise nach Wacken stockt,no,,no,1690902902,2023-08-01 15:08:02,tagesschau,UC5NOEUbkLheQcaaRldYW5GA,News & Politics,de,de-DE,1903,64,,,0,,https://i.ytimg.com/vi/gUtZ2FejpPg/mqdefault.jpg,FR,Other
NHkn_afp0v4,other,,[NHKスペシャル] 4K【絶景】世界最深の谷をドローン撮影と探検家の視点映像で | ヒマラヤ “悪魔の谷”～人跡未踏の秘境に挑む～ | NHK,no,,no,1690633813,2023-07-29 12:07:13,NHK,UCip8ve30-AoX2y2OtAAmqFA,Entertainment,ja,zxx,32280,398,,,0,,https://i.ytimg.com/vi/NHkn_afp0v4/mqdefault.jpg,FR,Other
EzWhjmqIzKI,other,,At least 20 killed  dozens missing after heavy rainstorms in Beijing • FRANCE 24 English,no,,no,1690892110,2023-08-01 12:08:10,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,,en,841,16,,,0,2,https://i.ytimg.com/vi/EzWhjmqIzKI/mqdefault.jpg,FR,Other
URVGXu7ujL4,other,,360° SEA PLASTIC - Narrated by Tim Robbins,no,,no,1602141075,2020-10-08 07:10:15,The Jetlagged - Ocean Films & Adventures,UCACjA95E5vi664xNlDonXqg,Pets & Animals,,en,22739,176,,,0,9,https://i.ytimg.com/vi/URVGXu7ujL4/mqdefault.jpg,FR,Other
