query,queryLabel
arsenic,Arsenic
asbestos,Asbestos
bpa,Bpa
cancerogenic-substances,Cancerogenic substances
endocrine-disrupting-chemical,Endocines disrupting chemical
glyphosate,Glyphosate
microplastics,Microplastics
neonicotinoid,Neonicotinoid
pfas,Pfas
roundup,Roundup
